,Metric,Value,Method,Algorithm,mv,sigma,diff_mu_12_mu_11,diff_mu_13_mu_23,Neighbors,Repetition
10369,F1 Macro,1.0,"ACF, correlation-only",ACF+RF,0.7316213830356422,0.036385637586368584,0.020387447375452367,0.041490650144979574,,8.0
10370,F1 Macro,0.9838109114456856,"ACF, correlation-only",ACF+Ridge,0.7316213830356422,0.036385637586368584,0.020387447375452367,0.041490650144979574,,8.0
10371,F1 Macro,0.9919862162920223,"ACF, with covariable",ACF+SVC,0.7316213830356422,0.036385637586368584,0.020387447375452367,0.041490650144979574,,8.0
10372,F1 Macro,0.9764123127727325,"ACF, with covariable",ACF+RF,0.7316213830356422,0.036385637586368584,0.020387447375452367,0.041490650144979574,,8.0
10373,F1 Macro,0.9838109114456856,"ACF, with covariable",ACF+Ridge,0.7316213830356422,0.036385637586368584,0.020387447375452367,0.041490650144979574,,8.0
10374,F1 Macro,0.900887507320809,KNN,KNN,0.7316213830356422,0.036385637586368584,0.020387447375452367,0.041490650144979574,6.0,8.0
10375,F1 Macro,0.9606871879545543,KNN,KNN+ROs,0.7316213830356422,0.036385637586368584,0.020387447375452367,0.041490650144979574,76.0,8.0
10376,F1 Macro,0.9919862162920223,DBC,DBC,0.7316213830356422,0.036385637586368584,0.020387447375452367,0.041490650144979574,,8.0
10377,F1 Macro,0.2815199258572752,Listwise Deletion,SVC,0.7316213830356422,0.036385637586368584,0.020387447375452367,0.041490650144979574,,8.0
10378,F1 Macro,0.2830516385175069,Listwise Deletion,RF,0.7316213830356422,0.036385637586368584,0.020387447375452367,0.041490650144979574,,8.0
10379,F1 Macro,0.34910198660198666,Listwise Deletion,Ridge,0.7316213830356422,0.036385637586368584,0.020387447375452367,0.041490650144979574,,8.0
10380,F1 Macro,0.9919862162920223,"ACF, correlation-only",ACF+SVC,0.7230940163493293,0.03499404397959102,0.021225540084059025,0.0396665317480292,,8.0
10381,F1 Macro,0.9919862162920223,"ACF, correlation-only",ACF+RF,0.7230940163493293,0.03499404397959102,0.021225540084059025,0.0396665317480292,,8.0
10382,F1 Macro,0.9919862162920223,"ACF, correlation-only",ACF+Ridge,0.7230940163493293,0.03499404397959102,0.021225540084059025,0.0396665317480292,,8.0
10383,F1 Macro,1.0,"ACF, with covariable",ACF+SVC,0.7230940163493293,0.03499404397959102,0.021225540084059025,0.0396665317480292,,8.0
10384,F1 Macro,0.9919862162920223,"ACF, with covariable",ACF+RF,0.7230940163493293,0.03499404397959102,0.021225540084059025,0.0396665317480292,,8.0
10385,F1 Macro,0.9841269841269842,"ACF, with covariable",ACF+Ridge,0.7230940163493293,0.03499404397959102,0.021225540084059025,0.0396665317480292,,8.0
10386,F1 Macro,0.8794789783525703,KNN,KNN,0.7230940163493293,0.03499404397959102,0.021225540084059025,0.0396665317480292,9.3,8.0
10387,F1 Macro,0.9682539682539683,KNN,KNN+ROs,0.7230940163493293,0.03499404397959102,0.021225540084059025,0.0396665317480292,49.0,8.0
10388,F1 Macro,1.0,DBC,DBC,0.7230940163493293,0.03499404397959102,0.021225540084059025,0.0396665317480292,,8.0
10389,F1 Macro,0.3574688974688975,Listwise Deletion,SVC,0.7230940163493293,0.03499404397959102,0.021225540084059025,0.0396665317480292,,8.0
10390,F1 Macro,0.35290404425649397,Listwise Deletion,RF,0.7230940163493293,0.03499404397959102,0.021225540084059025,0.0396665317480292,,8.0
10391,F1 Macro,0.301866892554022,Listwise Deletion,Ridge,0.7230940163493293,0.03499404397959102,0.021225540084059025,0.0396665317480292,,8.0
10392,F1 Macro,1.0,"ACF, correlation-only",ACF+SVC,0.7141701149753491,0.03402104268334154,0.023890851838288346,0.04086475498891634,,8.0
10393,F1 Macro,1.0,"ACF, correlation-only",ACF+RF,0.7141701149753491,0.03402104268334154,0.023890851838288346,0.04086475498891634,,8.0
10394,F1 Macro,1.0,"ACF, correlation-only",ACF+Ridge,0.7141701149753491,0.03402104268334154,0.023890851838288346,0.04086475498891634,,8.0
