,Metric,Value,Method,Algorithm,mv,sigma,diff_mu_12_mu_11,diff_mu_13_mu_23,Neighbors,a_size,b_size,c_size,Repetition
1062,F1 Macro,0.9532912954992826,KNN,KNN,0.81,0.05101691023848473,0.018800458746385335,0.041543517680850836,34.7,50.0,50.0,50.0,3.0
1063,F1 Macro,0.9269162210338683,KNN,KNN+ROs,0.81,0.05101691023848473,0.018800458746385335,0.041543517680850836,41.0,50.0,50.0,50.0,3.0
1064,F1 Macro,0.9666633329999667,DBC,DBC,0.81,0.05101691023848473,0.018800458746385335,0.041543517680850836,,50.0,50.0,50.0,3.0
1065,F1 Macro,0.3268258764112901,Listwise Deletion,SVC,0.81,0.050451987975118205,0.016854269008493655,0.04295932901851096,,53.0,47.0,50.0,3.0
1066,F1 Macro,0.33784087940354895,Listwise Deletion,RF,0.81,0.050451987975118205,0.016854269008493655,0.04295932901851096,,53.0,47.0,50.0,3.0
1067,F1 Macro,0.38331728409047994,Listwise Deletion,Ridge,0.81,0.050451987975118205,0.016854269008493655,0.04295932901851096,,53.0,47.0,50.0,3.0
1068,F1 Macro,0.9732369864846783,"ACF, correlation-only",ACF+SVC,0.81,0.050451987975118205,0.016854269008493655,0.04295932901851096,,53.0,47.0,50.0,3.0
1069,F1 Macro,0.9732369864846783,"ACF, correlation-only",ACF+RF,0.81,0.050451987975118205,0.016854269008493655,0.04295932901851096,,53.0,47.0,50.0,3.0
1070,F1 Macro,0.9732369864846783,"ACF, correlation-only",ACF+Ridge,0.81,0.050451987975118205,0.016854269008493655,0.04295932901851096,,53.0,47.0,50.0,3.0
1071,F1 Macro,0.9865807836822329,"ACF, with covariable",ACF+SVC,0.81,0.050451987975118205,0.016854269008493655,0.04295932901851096,,53.0,47.0,50.0,3.0
1072,F1 Macro,0.966502529059056,"ACF, with covariable",ACF+RF,0.81,0.050451987975118205,0.016854269008493655,0.04295932901851096,,53.0,47.0,50.0,3.0
1073,F1 Macro,0.9799015174354336,"ACF, with covariable",ACF+Ridge,0.81,0.050451987975118205,0.016854269008493655,0.04295932901851096,,53.0,47.0,50.0,3.0
1074,F1 Macro,0.9106315585118883,KNN,KNN,0.81,0.050451987975118205,0.016854269008493655,0.04295932901851096,55.9,53.0,47.0,50.0,3.0
1075,F1 Macro,0.8857684958779278,KNN,KNN+ROs,0.81,0.050451987975118205,0.016854269008493655,0.04295932901851096,70.8,53.0,47.0,50.0,3.0
1076,F1 Macro,0.979657673618853,DBC,DBC,0.81,0.050451987975118205,0.016854269008493655,0.04295932901851096,,53.0,47.0,50.0,3.0
1077,F1 Macro,0.35077806116457877,Listwise Deletion,SVC,0.81,0.05084207312588321,0.02024091574617662,0.040994714505684315,,56.0,44.0,50.0,3.0
1078,F1 Macro,0.35207004560429755,Listwise Deletion,RF,0.81,0.05084207312588321,0.02024091574617662,0.040994714505684315,,56.0,44.0,50.0,3.0
1079,F1 Macro,0.3320175438596491,Listwise Deletion,Ridge,0.81,0.05084207312588321,0.02024091574617662,0.040994714505684315,,56.0,44.0,50.0,3.0
1080,F1 Macro,0.9864718614718614,"ACF, correlation-only",ACF+SVC,0.81,0.05084207312588321,0.02024091574617662,0.040994714505684315,,56.0,44.0,50.0,3.0
1081,F1 Macro,0.9864718614718614,"ACF, correlation-only",ACF+RF,0.81,0.05084207312588321,0.02024091574617662,0.040994714505684315,,56.0,44.0,50.0,3.0
1082,F1 Macro,1.0,"ACF, correlation-only",ACF+Ridge,0.81,0.05084207312588321,0.02024091574617662,0.040994714505684315,,56.0,44.0,50.0,3.0
1083,F1 Macro,1.0,"ACF, with covariable",ACF+SVC,0.81,0.05084207312588321,0.02024091574617662,0.040994714505684315,,56.0,44.0,50.0,3.0
1084,F1 Macro,0.993251678644937,"ACF, with covariable",ACF+RF,0.81,0.05084207312588321,0.02024091574617662,0.040994714505684315,,56.0,44.0,50.0,3.0
1085,F1 Macro,0.9928876782809367,"ACF, with covariable",ACF+Ridge,0.81,0.05084207312588321,0.02024091574617662,0.040994714505684315,,56.0,44.0,50.0,3.0
